section,sub_section,section_name,subsection_name,subsubsection_name,resource_name,link,  description,scope,,doi
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MEG & EEG,Fieldtrip,https://www.fieldtriptoolbox.org/,"  Toolbox for MEG, EEG and iEEG analysis (Matlab)","M/EEG,iEEG,fNIRS",Yes,https://doi.org/10.1155/2011/156869
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging MEG & EEG,MNE-Python,https://mne.tools/stable/index.html,"  Exploring, visualizing, and analyzing human neurophysiological data (Python)","M/EEG,iEEG,fNIRS",Yes,https://doi.org/10.5281/zenodo.6543060
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging PET,PETSurfer,https://surfer.nmr.mgh.harvard.edu/fswiki/PetSurfer,"  Part of FreeSurfer, Coregisration with MRI, partial volume correction and kinetic modelling (RTM only)",PET,No,
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging PET,Kinfitr,https://github.com/mathesong/kinfitr,"  PET Kinetic Modelling using R, kinfitr is a package for PET Kinetic Modelling Using R",PET,No,https://doi.org/10.1101/755751
5,1,Data processing and analysis,Software as a research instrument,Neuroimaging PET,PETPVE12,https://github.com/GGonEsc/petpve12,  An SPM toolbox for Partial Volume Effects correction of PET images,PET,No,https://doi.org/10.1016/j.neuroimage.2016.12.077
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,NIpreps,https://github.com/nipreps,  Summary of neuroimaging preprocessing tools,MRI,Yes,
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,fMRIprep,https://fmriprep.org/en/stable/,  Robust preprocessing pipeline for fMRI data,MRI,Yes,https://doi.org/10.1038/s41592-018-0235-4
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,HCP Pipelines,https://github.com/Washington-University/HCPpipelines,  Set of tools for processing MRI images for the HCP,MRI,Yes,
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,C-PAC,https://fcp-indi.github.io/,  Preprocessing and analysis pipeline for resting state fMRI,MRI,Yes,
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,QSIPREP,https://qsiprep.readthedocs.io/en/latest/,  Preprocessing and analysis of q-space images,MRI,No,
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,Connectome Mapper,https://connectome-mapper-3.readthedocs.io/en/latest/,"  Full anatomical, diffusion and resting-state MRI processing pipeline for connection matrices",MRI,No,https://doi.org/10.5281/zenodo.6645256
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,TractoFlow,https://tractoflow-documentation.readthedocs.io/en/latest/,  Pipeline for diffusion MRI datasets from the raw data to the tractography,MRI,No,https://doi.org/10.1016/j.neuroimage.2020.116889
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,NIAK,https://niak.simexp-lab.org/build/html/index.html,  Neuroimaging Analysis Kit: pipelines for preprocessing and mining connectomes,MRI,No,
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,Neurosynth,https://neurosynth.org/,"  Platform for large-scale, automated synthesis of fMRI data",MRI,No,
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,BrainMap,http://www.brainmap.org/,  Database of published neuroimaging experiments with coordinate-based results in Talairach or MNI space,MRI,No,
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,NiMARE,https://nimare.readthedocs.io/en/latest/,  Neuroimaging Meta-Analysis Research Environment,MRI,No,https://doi.org/10.5281/zenodo.6642243
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,neuroquery,https://neuroquery.org,  Generate brain maps by querying the neuroscience literature,MRI,No,https://doi.org/10.7554/eLife.53385
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,qMRFlow,https://github.com/qMRLab/qMRFlow,  Pipelines for end-to-end quantitative MRI processing,MRI,No,
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,Appian,https://github.com/APPIAN-PET/APPIAN,"  PET pipeline: coregistration, partial-volume correction, quantification with tracer kinetic modeling",PET ,No,https://doi.org/10.3389/fninf.2018.00064
5,2,Data processing and analysis,Standardized preprocessing and workflows,n/a,MNE-BIDS Pipeline,https://mne.tools/mne-bids-pipeline/,  Full processing pipeline for BIDS formatted MEG and EEG data,M/EEG,Yes,
5,2,Data processing and analysis,Standardized preprocessing and workflows,Containers,Docker,https://www.docker.com/,  To package specific versions of heterogeneous dependencies and ensure cross-platform compatibility,General,Yes,
5,2,Data processing and analysis,Standardized preprocessing and workflows,Containers,Apptainer/Singularity,https://apptainer.org/,  To package specific versions of heterogeneous dependencies and ensure cross-platform compatibility,General,Yes,
5,2,Data processing and analysis,Standardized preprocessing and workflows,Containers,NeuroDocker,https://github.com/ReproNim/neurodocker,  Command-line program to generate neuroimaging Docker/Singularity files and minify containers,General,No,https://doi.org/10.5281/zenodo.3753248
5,2,Data processing and analysis,Standardized preprocessing and workflows,Containers,ReproMan,https://github.com/repronim/reproman,  Simplify the creation and management of computing environments in Neuroimaging,General,No,
5,3,Data processing and analysis,Statistical modeling and advanced analysis,n/a,scikit-learn,https://scikit-learn.org/stable/,  Machine learning analyses in Python,General,Yes,
5,3,Data processing and analysis,Statistical modeling and advanced analysis,n/a,Nilearn,https://nilearn.github.io/,  Open source python library for advanced analyses of fMRI data,MRI,Yes,https://doi.org/10.3389/fninf.2014.00014
5,3,Data processing and analysis,Statistical modeling and advanced analysis,n/a,PyMVPA,http://www.pymvpa.org/,  Python package intended to ease statistical learning analyses of large datasets,MRI,Yes,https://doi.org/10.1007/s12021-008-9041-y
5,3,Data processing and analysis,Statistical modeling and advanced analysis,n/a,Neuroscout,https://neuroscout.org/,  Platform for fast and flexible re-analysis of (naturalistic) fMRI studies,MRI,Yes,
5,3,Data processing and analysis,Statistical modeling and advanced analysis,n/a,FitLins,https://fitlins.readthedocs.io/en/latest/model.html,  Reference workflow that fits BIDS-SM using AFNI or Nilearn,MRI,Yes,https://doi.org/10.5281/zenodo.6397685
5,3,Data processing and analysis,Statistical modeling and advanced analysis,n/a,BIDS-SM,https://docs.google.com/document/d/1bq5eNDHTb6Nkx3WUiOBgKvLNnaa5OMcGtD0AZ9yms2M/edit#heading=h.mqkmyp254xh6,"  BIDS stats model standard, implementation-independent representation of fMRI GLM models",MRI,Yes,
5,4,Data processing and analysis,Multiverse analysis,n/a,Explorable Multiverse Analyses,https://explorablemultiverse.github.io/,  Tool to compare alternative analysis options for a given study,General,Yes,https://doi.org/10.1145/3290605.3300295
5,4,Data processing and analysis,Multiverse analysis,n/a,Fuzzy,https://github.com/gkiar/fuzzy,  Introduces perturbations and keeps track of their influence,General,Yes,https://doi.org/10.5281/zenodo.6856971
5,4,Data processing and analysis,Multiverse analysis,n/a,boba,https://github.com/uwdata/boba,  Author and visualize multiverse analyses,General,Yes,https://doi.org/10.48550/arXiv.2007.05551
5,4,Data processing and analysis,Multiverse analysis,n/a,Neuroimaging Analysis Replication & Prediction Study (NARPS),https://www.narps.info/,  Same fMRI dataset independently analyzed by 70 teams,MRI,Yes,https://doi.org/10.1038/s41586-020-2314-9
5,4,Data processing and analysis,Multiverse analysis,n/a,EEGManyPipelines,https://eegmanypipelines.org/,  Same EEG dataset is being analyzed independently by many teams,EEG,Yes,
5,4,Data processing and analysis,Multiverse analysis,n/a,Data driven auditory encoding,https://datadrivenauditoryencoding.herokuapp.com/,  Example to demonstrate the influence of parameter choice on results in Boos et al. 2021,MRI,Yes,
6,0,Research dissemination,n/a,n/a,FAIR Principles,https://www.go-fair.org/fair-principles/,"  Findability, Accessibility, Interoperability, and Reusability",General,,https://doi.org/10.1038/sdata.2016.18
6,0,Research dissemination,n/a,n/a,The Turing Way Community,https://the-turing-way.netlify.app,"  Open source community-driven guide to reproducible, ethical, inclusive and collaborative data science",General,Yes,https://doi.org/10.5281/zenodo.6533831
6,0,Research dissemination,n/a,n/a,Research Resource Identifier (RRID),https://scicrunch.org/resources,"  To promote research resource identification, discovery, and reuse",General,No,
6,0,Research dissemination,n/a,Licensing,How to choose a license,https://choosealicense.com/,  Step by step guide to choose an apropriate license,General,No,
6,0,Research dissemination,n/a,Licensing,Comparison of licences,https://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licences,  Wikipedia Comparison of free and open-source software licences,General,No,
6,0,Research dissemination,n/a,Licensing,TTW chapter on Licensing,https://the-turing-way.netlify.app/reproducible-research/licensing.html,  Provides criteria for seletion of a license,General,No,
6,0,Research dissemination,n/a,Licensing,Example: NiPreps Licensing,https://www.nipreps.org/community/licensing/,"  NiPreps software license: Apache License, Version 2.0",General,No,
6,1,Research dissemination,Data sharing,Platforms: neuro-oriented,OpenNeuro,openneuro.org,  Platform for openly share BIDS formatted neuroimaging data,General,Yes,
6,1,Research dissemination,Data sharing,Platforms: neuro-oriented,GIN,https://gin.g-node.org,  Data managment system for comprehensive and reproducible neuroscientific data,General,Yes,
6,1,Research dissemination,Data sharing,Platforms: neuro-oriented,Brainlife,https://brainlife.io,  Cloud platform for secure neuroscience data analysis,General,Yes,
6,1,Research dissemination,Data sharing,Platforms: neuro-oriented,Ebrains,https://ebrains.eu/,"  Digital research infrastructure by the EU Human Brain Project, for data and tools in brain research",General,Yes,
6,1,Research dissemination,Data sharing,Platforms: neuro-oriented,Canadian Open Neuroscience Platform (CONP),http://conp.ca,  Infrastructure for open-science workflows and sharing neuroscience data,General,Yes,
6,1,Research dissemination,Data sharing,Platforms: neuro-oriented,Distributed Archives Neurophy Data Integration (DANDI),www.dandiarchive.org,  The BRAIN Initiative archive for publishing and sharing neurophysiology data,General,Yes,
